keyword,monthly_volume_us,competition,cpc_usd,cluster,priority,notes
games like stardew valley,9900,0.01,1.12,games-like,P1,王牌支柱页-量大竞争近零
farming sim games,5400,0.04,0.26,head-term,P1,头部品类词
free farming games,1900,0.27,2.15,free-intent,P1,免费意图-暂无专页
farming rpg games,1900,0.00,2.15,head-term,P1,农场RPG-战斗角度素材已有
cozy games,12100,0.07,0.13,head-term,P2,头部宽词-上升趋势
farming games,14800,0.25,0.54,head-term,P2,头部宽词
games like palia,880,0.10,0.00,games-like,P2,新游戏-已有Palia目录
farming games for switch,720,0.93,0.12,platform,P3,竞争高
games like hay day,590,0.16,2.56,games-like,P2,已有HayDay目录-高CPC
cozy mobile games,590,0.10,0.14,platform,P2,移动端意图
free cozy games,590,0.11,0.14,free-intent,P2,免费意图
games like animal crossing for switch,590,0.94,0.00,games-like,P3,竞争高
cute switch games,480,0.86,0.00,platform,P3,竞争高
cozy farming games,480,0.03,2.16,head-term,P2,低竞争-高CPC
games like wylde flowers,390,0.07,3.08,games-like,P2,低竞争-高CPC
best cozy games on switch,390,0.60,0.00,platform,P3,中等竞争
games like rune factory,260,0.26,0.00,games-like,P2,已有RuneFactory素材
free farming games for pc,170,0.17,1.18,free-intent,P2,免费+PC意图
games like fields of mistria,170,0.00,0.00,games-like,P1,新游戏-零竞争先发优势
best farming games switch,140,0.38,0.00,platform,P3,
games like stardew valley for android,140,0.04,0.00,games-like,P2,平台修饰长尾
games like my time at portia,110,0.09,0.00,games-like,P2,已有Portia目录
games like story of seasons,110,0.53,0.00,games-like,P3,已有StoryOfSeasons素材
games like sun haven,110,0.00,0.00,games-like,P2,零竞争
games like stardew valley with romance,110,0.01,0.00,modifier,P2,恋爱意图-极低竞争
best cozy games steam,110,0.01,0.00,platform,P2,极低竞争
best farming games steam,110,0.00,0.00,platform,P2,零竞争
stardew valley alternatives,90,0.00,0.00,games-like,P2,替代品意图-零竞争
cozy games switch 2025,70,0.33,0.00,platform,P3,含年份-时效性
best farming games online,70,0.18,0.00,platform,P3,
what to play after stardew valley,50,0.00,0.00,games-like,P2,问答意图-零竞争-GEO友好
cozy switch games with romance,50,0.30,0.00,modifier,P3,
aesthetic switch games,50,0.10,0.00,platform,P3,
best farming games mobile,50,0.30,0.00,platform,P3,
farming games with romance,50,0.01,0.00,modifier,P2,恋爱意图-极低竞争
best free farming games,40,0.24,1.86,free-intent,P2,
games like stardew valley but not farming,20,0.00,0.00,games-like,P3,反向意图-零竞争
best mobile games like stardew valley,20,0.02,0.00,games-like,P3,
best farming games reddit,20,0.00,0.00,platform,P3,reddit意图
relaxing games like stardew valley,20,0.00,0.00,games-like,P3,
best farm games offline,10,0.05,0.00,platform,P3,离线意图
games like stardew valley with combat,10,0.00,0.00,modifier,P3,战斗意图
games like stardew valley with multiplayer,10,0.00,0.00,modifier,P3,多人意图
best farming games on mobile,10,0.21,0.00,platform,P3,
games like coral island with romance,0,0.00,0.00,games-like,P3,需求弱
games like coral island for switch,0,0.00,0.00,games-like,P3,需求弱
fantasy cozy games switch,0,0.00,0.00,platform,P3,需求弱
animal crossing with combat,0,0.00,0.00,games-like,P3,需求弱
best cozy games 2026,0,0.00,0.00,head-term,P3,新词-暂无量
best farming games for beginners,0,0.00,0.00,head-term,P3,已有现成文章覆盖
